"","longitude","latitude","name","values"
"212",-112.5315,35.16524,"ASH FORK 4.9 SW",1
"213",-112.02375,34.72314,"COTTONWOOD 1.4 WSW",1
"214",-111.90003,34.79728,"SEDONA 9.0 WSW",0
"215",-110.16542,31.44185,"HEREFORD 4.0 W",1
"216",-110.33227,31.6769,"HUACHUCA CITY 3.4 N",1
"217",-111.53432,35.26173,"FLAGSTAFF 8.2 NE",0
"218",-111.93058,33.33903,"TEMPE 5.2 SSW",0
"219",-112.13701,33.85501,"CAREFREE 13.2 W",0
"220",-112.09452,33.35035,"PHOENIX 6.3 SSW",0
"221",-111.06967,32.14307,"TUCSON 10.2 WSW",1
"222",-111.11798,32.37066,"TUCSON 15.5 NW",1
"223",-110.82,32.2483,"TUCSON 6.2 ENE",2
"224",-110.78942,32.60584,"ORACLE 1.1 WSW",1
"225",-110.90229,32.5187,"SADDLEBROOKE 1.5 SW",2
"226",-112.45172,34.8559,"PAULDEN 2.3 SSE",1
"227",-111.8304,36.0353,"GRAND CANYON EAST ENTRANCE",1
"228",-112.08258,33.93223,"NEW RIVER 3.2 ENE",0
"229",-110.98015,32.39846,"ORO VALLEY 2.0 SSW",1
"230",-110.99123,32.39244,"ORO VALLEY 1.8 W",1
"231",-111.07695,32.2988,"TUCSON 10.7 WNW",2
"232",-112.37636,34.54342,"PRESCOTT 4.8 E",2
"233",-112.10943,36.05931,"GRAND CANYON VISITOR CENTER",0
"234",-110.9462,31.88837,"GREEN VALLEY 3.7 NE",2
"235",-112.4623,34.6062,"PRESCOTT 4.6 N",2
"236",-112.16373,33.57166,"GLENDALE 3.0 NNE",1
"237",-111.59992,33.34761,"MESA 13.6 ESE",0
"238",-111.99932,33.49122,"PHOENIX 5.4 NE",0
"239",-110.76831,32.28244,"TUCSON 9.9 ENE",1
"240",-109.5,33.98,"BALDY",1
"241",-109.46,33.92,"MAVERICK FORK",2
"242",-109.22,33.69,"BEAVER HEAD",2
"243",-109.15,33.8,"CORONADO TRAIL",3
"244",-109.31,33.65,"HANNAGAN MEADOWS",0
"245",-109.48,33.76,"WILDCAT",1
"246",-110.75,34.31,"HEBER",1
"247",-110.92,33.81,"WORKMAN CREEK",1
"248",-111.65,35.34,"SNOWSLIDE CANYON",2
"249",-111.84,35.07,"FRY",1
"250",-111.52,34.94,"MORMON MOUNTAIN",0
"251",-111.41,34.75,"HAPPY JACK",2
"252",-111.41,34.46,"BAKER BUTTE",2
"253",-111.01,34.37,"PROMONTORY",2
"254",-112.15,35.14,"WHITE HORSE LAKE",2
"255",-110.82274,32.26249,"TUCSON 6.4 ENE",2
"256",-109.52262,31.34113,"DOUGLAS 1.0 E",1
"257",-110.88414,32.48921,"CATALINA 2.5 ESE",2
"258",-111.59274,35.19382,"FLAGSTAFF 3.2 E",0
"259",-111.74168,33.44122,"MESA 4.7 ENE",1
"260",-112.14254,33.54864,"GLENDALE 2.5 ENE",1
"261",-111.03852,32.32204,"TUCSON 9.9 NW",1
"262",-110.78238,32.20471,"TUCSON 8.1 E",2
"263",-110.90464,32.22585,"TUCSON 1.0 ENE",2
"264",-111.99776,33.29662,"PHOENIX 10.8 SSE",0
"265",-111.77306,33.59191,"SCOTTSDALE 9.3 NE",1
"266",-111.05001,32.17105,"TUCSON 8.3 WSW",2
